system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_10_3,2020-05-07,833-883,-25.4642319705248,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_4,2020-05-07,883-933,-24.832782254011782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_5,2020-05-07,933-983,-23.506532159234656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_6,2020-05-07,983-1033,-19.78168471679284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_7,2020-05-07,1033-1083,-18.225957742408905,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_8,2020-05-07,1083-1133,-18.15972396362591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_9,2020-05-07,1133-1183,-14.872516927680422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_10,2020-05-07,1183-1233,-9.041388127835367,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_11,2020-05-07,1233-1283,-9.638864443226833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_12,2020-05-07,1283-1333,-7.881520899665041,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_13,2020-05-07,1333-1383,-4.807181977566111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_14,2020-05-07,1383-1433,-0.7519707380226758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_0,2020-05-19,683-733,-24.284899859040518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_1,2020-05-19,733-783,-24.334912868835477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_2,2020-05-19,783-833,-25.6416086112249,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_3,2020-05-19,833-883,-25.42949468764944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_4,2020-05-19,883-933,-24.093859900471625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_5,2020-05-19,933-983,-24.202315549700675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_6,2020-05-19,983-1033,-21.775860587857604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_7,2020-05-19,1033-1083,-18.60950000633556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_8,2020-05-19,1083-1133,-19.473905058861554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_9,2020-05-19,1133-1183,-16.03574782482917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_10,2020-05-19,1183-1233,-13.245298007388701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_11,2020-05-19,1233-1283,-12.07200670373138,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_12,2020-05-19,1283-1333,-11.58596407930616,"{""type"":""MultiPoint"",""coordinates"":[]}"
